Rapaport Trade Lot #,Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,Rapaport Trade Price,Rapaport Trade Discount %,Cash Price,Cash Price Discount %,BuyNow $/ct,BuyNow rap%,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Sarine Loupe,Report File Name,Report 2 File name,Website Link,Image 1,Image 2,Image 3,Image 4,Image 5,VideoURL 1,VideoURL 2,VideoURL 3,VideoURL 4,VideoURL 5,Document 1,Document 2,Document 3,Document 1 Type,Document 2 Type,Document 3 Type,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones,Tracr ID,Display Cert Number
109979159,HJDDMQ2124,G,Marquise,0.11,,,,,,,,5.25x2.50x1.44,,GIA,5201649858,,,5500,,5300,,,,,,,,,,,Pointed,,,,,GIA 5201649858,"A. The color of this stone changes temporarily when gently heated, or when left in darkness for a period of time and is known in the trade as ""CHAMELEON"".
",,CHAMELEON,,Yellow,,None,,None,Green - Chameleon,Fancy,Grayish Yellowish,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,10/10/2019 0:00,Colored Diamond Identification and Origin Report,Hong Kong,,TRUE,1,,,1
110323400,HJDDMQ2148,G,Marquise,0.33,,VS2,,G,G,M,B,6.33x3.69x2.38,,GIA,2205725460,,,5500,,5300,,,,64.4,66,TK,XTK,,Faceted,N,Pointed,,,,,GIA 2205725460,Additional clouds are not shown.,"Feather,  Chip,  Cloud,  Needle", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,,None,Green,Fancy,Grayish Yellowish,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,11/15/2019 00:00:00,Colored Diamond Grading Report,USA,,TRUE,1,,,1
110412411,HJDDMQ2164,M,Marquise,0.7,D,VS2,,G,G,F,,9.70x4.59x2.73,,GIA,7256846542,,,2701,-0.129,2590,-0.165,,,59.4,60,TN,XTK,,Faceted,N,Pointed,,,,,GIA 7256846542,,"Crystal,  Indented Natural", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,None,None,,,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,05/22/2017 00:00:00,Diamond Dossier,USA,,TRUE,1,,,1
110412442,HJDDMQ2165,M,Marquise,0.72,F,VS2,,VG,G,N,,10.06x4.37x2.98,,GIA,6222044891,,,2574,-0.047,2475,-0.083,,,68.2,55,XTN,VTK,,Faceted,N,Pointed,,,,,GIA 6222044891,,"Feather,  Cloud,  Cavity", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,None,None,,,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,03/15/2016 00:00:00,Diamond Dossier,USA,,TRUE,1,,,1
110412675,HJDDMQ2167,G,Marquise,0.71,K,VS2,,VG,G,N,,9.49x4.85x2.68,,GIA,6325587801,,,1512,-0.055,1449,-0.094,,,55.3,51,TN,VTK,,Faceted,N,Pointed,,,,,GIA 6325587801,,"Feather,  Twinning Wisp", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,,None,,,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,04/23/2019 00:00:00,Diamond Dossier,USA,,TRUE,1,,,1
110431015,HJDDRCU2134,G,Cushion Modified,1.15,F,VVS2,,G,G,N,,8.47x6.61x2.09,,GIA,6345069968,,,6640,0.038,6400,0,,,31.6,80,TN,VTK,,Faceted,,Pointed,,,,,GIA 6345069968,,"Needle,  Feather,  Bruise,  Pinpoint,  Natural,  Extra Facet", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,,None,,,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,11/21/2019 00:00:00,Diamond Grading Report,Hong Kong,,TRUE,1,,,1
110454088,HJDDRO2108,G,Oval,0.93,E,VS1,,G,F,S,B,7.81x6.29x2.11,,GIA,1339750134,,,4700,0.044,4500,0,,,33.5,70,M,XTK,,Faceted,,Pointed,,,,,GIA 1339750134,,Crystal, 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,None,None,,,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,09/30/2019 00:00:00,Diamond Dossier,HK,,TRUE,1,,,1
110454089,HJDDRT2127,G,Triangular,1.26,D,VS2,,G,G,F,,8.32x8.63x2.13,,GIA,6345010688,,,5500,-0.035,4800,-0.158,,,24.7,68,VTK,XTK,,Faceted,N,Pointed,,,,,GIA 6345010688,Pinpoints are not shown. Surface graining is not shown.,"Crystal,  Needle,  Indented Natural,  Extra Facet", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,None,None,,,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,10/28/2019 00:00:00,Diamond Grading Report,HK,,TRUE,1,,,1
110454127,HJDDRCU2130,G,Rose,0.94,D,VS2,,VG,G,S,B,8.42x5.98x1.81,,GIA,2348009108,,,4740,0.156,4560,0.112,,,,,M,XTK,,Faceted,,Pointed,,,,,GIA 2348009108,,"Cavity,  Twinning Wisp", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,,None,,,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,10/25/2019 00:00:00,Diamond Dossier,HK,,TRUE,1,,,1
110466179,HJDDRT2157,G,Triangular,1.31,F,VS1,,G,G,F,,8.50x9.07x2.19,,GIA,1348176912,,,5400,-0.069,4800,-0.172,,,24.2,72,TN,VTK,,Faceted,N,Pointed,,,,,GIA 1348176912,"Additional pinpoints, clouds, surface graining and additional extra facets are not shown.","Feather,  Pinpoint,  Indented Natural,  Extra Facet", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,None,None,,,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,12/2/2019 0:00,Diamond Grading Report,HK,,TRUE,1,,,1
